Date,Tag,Commit,ROM,Preset,CPU,MIPS,Notes,StdDev,Samples,RunMedians
2024-05-12,1.3.14,0558cb085,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,525.89,build-only patch,10.17,81,527.4|525.9|523.7
2024-07-06,1.3.15,f50ed1a14,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,268.51,,6.50,104,272.1|266.8|268.5
2024-07-06,1.3.15,f50ed1a14,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,196.01,,4.05,114,196.3|196.0|195.7
2024-07-06,1.3.15,f50ed1a14,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,838.74,build-only patch,16.92,87,842.2|838.7|836.1
2024-07-06,1.3.15,f50ed1a14,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,527.57,build-only patch,8.73,81,522.2|530.7|527.6
2024-08-04,1.3.17,cdbf91bdc,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,265.74,,5.46,104,265.2|267.2|265.7
2024-08-04,1.3.17,cdbf91bdc,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,199.26,,4.89,114,199.3|198.5|201.3
2024-08-04,1.3.17,cdbf91bdc,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,851.10,build-only patch,24.42,86,853.2|851.1|850.7
2024-08-04,1.3.17,cdbf91bdc,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,527.40,build-only patch,22.39,79,512.4|529.6|527.4
2024-09-08,1.3.20,ebdc38090,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,266.46,,7.09,106,262.8|268.9|266.5
2024-09-08,1.3.20,ebdc38090,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,196.82,,4.38,114,196.8|198.7|194.1
2024-09-08,1.3.20,ebdc38090,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,866.98,build-only patch,16.22,88,867.0|867.4|857.2
2024-09-08,1.3.20,ebdc38090,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,532.55,build-only patch,15.38,78,537.8|532.6|524.9
2024-10-29,1.3.21,020ffa444,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,340.69,,10.90,67,341.2|340.7|337.2
2024-10-29,1.3.21,020ffa444,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,234.14,,6.40,67,238.0|234.1|233.8
2024-10-29,1.3.21,020ffa444,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,996.17,build-only patch,18.22,102,996.2|994.8|997.4
2024-10-29,1.3.21,020ffa444,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,600.48,build-only patch,13.11,90,599.4|604.4|600.5
2024-11-18,1.4.0,3fedce01b,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,324.13,,10.35,63,326.2|320.5|324.1
